,SensorTime,Sensor0,Sensor1,Sensor2,Sensor3,Sensor4,Sensor5,Sensor6,Sensor7,Sensor8,Sensor9,Sensor10,Sensor11,Sensor12,Sensor14,Sensor15,Sensor16,Sensor18,Sensor19,Sensor20,Sensor21,Sensor22,Sensor23,Sensor24,Sensor25,Sensor28,Sensor29,Sensor31,Sensor32,Sensor33,Sensor34,Sensor37,Sensor38,Sensor40,Sensor41,Sensor42,Sensor43,Sensor44,Sensor45,Sensor47,Sensor48,Sensor49,Sensor51,Sensor53,Sensor55,Sensor56,Sensor57,Sensor58,Sensor59,Sensor61,Sensor62,Sensor63,Sensor64,Sensor67,Sensor68,Sensor69,Sensor71,Sensor75,Sensor76,Sensor77,Sensor78,Sensor79,Sensor80,Sensor81,Sensor82,Sensor83,Sensor84,Sensor86,Sensor87,Sensor88,Sensor89,Sensor90,Sensor91,Sensor92,Sensor93,Sensor96,Sensor99,Sensor102,Sensor103,Sensor107,Sensor108,Sensor113,Sensor115,Sensor116,Sensor117,Sensor118,Sensor119,Sensor120,Sensor121,Sensor122,Sensor125,Sensor126,Sensor128,Sensor131,Sensor132,Sensor133,Sensor134,Sensor135,Sensor136,Sensor137,Sensor138,Sensor139,Sensor142,Sensor143,Sensor144,Sensor145,Sensor146,Sensor150,Sensor151,Sensor153,Sensor156,Sensor159,Sensor160,Sensor161,Sensor162,Sensor166,Sensor167,Sensor168,Sensor169,Sensor170,Sensor171,Sensor172,Sensor173,Sensor175,Sensor176,Sensor177,Sensor180,Sensor181,Sensor182,Sensor183,Sensor184,Sensor185,Sensor188,Sensor195,Sensor198,Sensor200,Sensor201,Sensor208,Sensor210,Sensor211,Sensor212,Sensor213,Sensor214,Sensor215,Sensor216,Sensor217,Sensor218,Sensor219,Sensor221,Sensor222,Sensor223,Sensor224,Sensor225,Sensor227,Sensor228,Sensor238,Sensor239,Sensor248,Sensor250,Sensor251,Sensor253,Sensor255,Sensor267,Sensor268,Sensor269,Sensor367,Sensor423,Sensor432,Sensor438,Sensor460,Sensor472,Sensor476,Sensor483,Sensor510,Sensor542,Sensor543,Sensor544,Sensor558,Sensor559,Sensor570,Sensor571,Sensor572,Sensor582,Sensor583,Sensor586,Sensor587,Sensor589,Pass_Fail
0,2008-07-19 11:55:00,3030.93,2564.0,2187.7333,1411.1265,1.3602,100.0,-999.0,0.1242,-999.0,0.0162,-0.0034,0.9455,202.4396,7.9558,414.871,10.0433,192.3963,12.519,1.4026,-5419.0,2916.5,-4043.75,751.0,0.8955,64.2333,2.0222,3.5191,83.3971,9.5126,50.617,66.3141,86.9555,61.29,4.515,70.0,352.7173,10.1841,130.3691,1.3072,141.2282,1.0,218.3174,4.592,2834.0,0.9317,0.9484,4.7057,-1.7264,10.6231,108.6427,16.1445,21.7264,0.9226,148.6009,1.0,84.0793,0.0126,-0.0206,-999.0,-0.0307,-0.0083,-999.0,-999.0,-0.0044,7.2163,0.132,2.3895,0.969,1747.6049,0.1841,8671.9301,-0.3274,-0.0055,-999.0,-0.2786,-0.0251,0.135,-0.0042,-0.2468,0.3196,0.946,748.6115,0.9908,-999.0,0.6002,-999.0,6.3788,15.88,2.639,0.8656,-999.0,3.188,0.996,2.2967,-999.0,-999.0,123.0,111.3,75.2,46.2,350.671,6.78,0.0034,0.0898,0.085,0.0358,4.271,10.284,0.0167,-999.0,1017.0,967.0,1066.0,368.0,2.0,0.9,0.069,0.046,0.725,0.1139,0.3183,0.5888,0.9499,0.3979,0.16,20.95,0.3329999999999999,12.49,16.713,0.0803,5.72,-999.0,0.292,0.296,10.3,5.38,97.314,0.0772,-999.0,0.07,0.0547,0.0704,0.052,-999.0,0.1135,3.4789,0.001,0.0707,-999.0,175.2173,0.0315,1940.3994,0.0744,0.0546,0.0027,-999.0,0.0188,219.9453,0.0011,0.0189,0.4269,0.0472,40.855,4.5152,0.0124,53.684,26.3617,44.5055,29.9394,63.7987,31.9893,291.4842,64.6707,0.1096,0.0078,-999.0,1.0344,0.4385,533.85,2.1113,8.95,0.5005,0.0118,0.021458429118773943,0.016474904214559386,99.67006634738186,0
1,2008-07-19 12:32:00,3095.78,2465.14,2230.4222,1463.6606,0.8294,100.0,102.3433,0.1247,1.4966,-0.0005,-0.0148,0.9627,200.547,10.1548,414.7347,9.2599,191.2872,12.4608,1.3825,-5441.5,2604.25,-3498.75,-1640.25,1.2973,68.4222,2.2667,3.4171,84.9052,9.7997,50.6596,64.9193,87.5241,78.25,2.773,70.0,352.2445,10.0373,133.1727,1.2887,145.8445,1.0,205.1695,4.59,2853.0,0.9324,-999.0,4.682,0.8073,10.3092,113.98,10.9036,-999.0,1.1598,154.3709,1.0,82.3494,-0.0039,-0.0198,0.0004,-0.044,-0.0358,-0.012,-0.0377,0.0017,6.8043,0.1358,2.3754,-999.0,1931.6464,-999.0,8407.0299,0.1455,-0.0015,-999.0,0.5854,-0.0158,-0.0752,-0.0045,0.0772,-0.0903,0.9425,731.2517,0.9902,58.668,0.5958,-999.0,6.5061,-999.0,2.541,0.8703,2.7710000000000004,3.272,0.9985,2.2932,998.1081,-999.0,98.0,80.3,81.0,56.2,219.7679,5.7,0.0049,0.1356,-999.0,0.0547,6.285,13.077,0.0144,-999.0,568.0,-999.0,297.0,3277.0,2.2,1.1,0.079,0.561,1.0498,0.1917,0.4115,0.6582,1.0181,0.2315,0.325,17.99,0.439,10.14,-999.0,0.0892,6.92,82.986,0.222,0.316,8.02,-999.0,134.25,-999.0,0.0488,0.1651,0.1578,0.0468,-999.0,0.0734,-999.0,3.9578,0.005,0.0761,0.0014,128.4285,0.0238,1988.0,0.0203,0.0236,0.0064,0.0036,0.0154,193.0287,0.0007,0.0187,0.5749,0.0411,29.743,3.6327,0.0081,61.8918,8.4887,48.5294,40.4475,73.5536,30.8643,246.7762,141.4365,0.1096,0.0078,0.0026,0.9634,0.1745,535.0164,2.4335,5.92,0.5019,0.0223,0.0096,0.0201,208.2045,0
2,2008-07-19 13:17:00,2932.61,-999.0,2186.4111,1698.0172,1.5102,100.0,95.4878,0.1241,1.4436,0.0041,-999.0,0.9615,202.0179,9.5157,416.7075,9.3144,192.7035,12.5404,1.4123,-5447.75,2701.75,-4047.0,-1916.5,1.3122,67.1333,2.3333,-999.0,84.7569,-999.0,50.153,65.8389,-999.0,14.37,5.434,70.0,364.3782,9.8783,131.8027,1.2992,141.0845,1.0,185.7574,4.486000000000001,2936.0,0.9139,0.9447,-999.0,23.8245,10.1685,115.6273,11.3019,16.1755,0.8694,145.8,1.0,84.7681,-0.0078,-0.0326,-0.0052,0.0213,-0.0054,-0.1134,-0.0182,0.0287,7.1041,0.1362,2.4532,-999.0,1685.8514,0.1497,9317.1698,0.0553,0.0006,-0.0013,-0.1343,0.1218,0.0134,-0.0026,-0.0301,-0.0728,0.9231,718.5777,0.9899,58.4808,0.6015,0.9772,6.4527,-999.0,2.882,0.8798,3.094,-999.0,0.9978,2.2592,998.444,42.0579,-999.0,126.4,96.5,45.1001,306.038,8.33,-999.0,0.0754,0.0483,0.0619,4.819,8.443,0.0177,0.0497,562.0,788.0,759.0,2100.0,2.1,1.4,0.123,0.319,1.0824,0.0369,0.3141,-999.0,0.9677,0.2706,0.326,17.78,0.745,13.31,22.912,0.1959,-999.0,60.11,0.139,0.949,16.73,5.09,79.618,0.0339,0.0494,0.0696,0.0406,0.0401,0.084,0.0349,0.0718,-999.0,0.0014,0.0963,0.0152,182.4956,0.0284,839.6006,0.0192,0.017,0.0062,-999.0,0.0273,104.4042,0.0007,-999.0,0.4166,0.0487,29.621,3.9133,0.003,50.6425,18.7546,-999.0,32.3594,148.0287,13.3923,151.7665,240.7767,0.1096,0.0078,0.0026,1.5021,0.3718,535.0245,2.0293,11.21,0.4958,-999.0,0.0584,0.0484,82.8602,1
3,2008-07-19 14:43:00,2988.72,2479.9,2199.0333,909.7926,-999.0,100.0,104.2367,0.1217,1.4882,-0.0124,-0.0033,0.9629,201.8482,9.6052,422.2894,9.6924,192.1557,12.4782,1.4011,-5468.25,2648.25,-4515.0,-1657.25,1.3137,62.9333,2.6444,3.3813,84.9105,8.6789,50.51,65.1951,86.6867,76.9,1.279,70.0,363.0273,9.9305,131.8027,-999.0,142.5427,1.0,189.9079,-999.0,2936.0,0.9139,0.9447,-999.0,-999.0,10.2112,116.1818,13.5597,15.6209,0.9761,147.6545,1.0,70.2289,-0.0555,-0.0461,-0.04,0.04,0.0676,-0.1051,0.0028,0.0277,7.5925,0.1302,2.4004,0.9904,1752.0968,0.1958,8205.7,0.0697,-0.0003,-0.0021,0.0411,-0.0195,-0.0699,-0.0059,-0.0483,-0.118,0.9564,709.0867,0.9906,58.6635,0.6016,0.9761,6.4935,15.55,3.132,1.366,2.48,3.119,0.9961,2.3802,980.451,-999.0,127.0,118.0,123.7,47.8,162.43200000000002,5.51,0.003,0.114,0.0393,0.0613,9.073,15.241,0.015,-999.0,859.0,355.0,3433.0,3004.0,1.7,-999.0,0.086,0.241,0.9386,0.0356,0.2618,0.4391,0.8567,0.2452,0.39,16.22,-999.0,14.67,22.562,0.1786,5.69,-999.0,0.139,1.264,13.56,5.92,104.95,0.1248,0.0463,0.1223,0.0354,-999.0,0.0754,0.0643,0.0932,5.5398,0.0023,0.0764,0.0015,152.0885,0.0573,820.3999,0.0152,0.0149,0.0067,0.004,0.0234,94.0954,-999.0,0.0406,0.4212,0.0513,31.83,3.1959,0.0028,94.4594,76.0354,34.0336,27.6824,100.0021,35.4323,100.4883,113.5593,0.1096,0.0078,0.0026,1.1613,-999.0,530.5682,2.0253,9.33,0.499,0.0103,0.0202,0.0149,73.8432,0
4,2008-07-19 15:22:00,3032.24,2502.87,2233.3667,1326.52,-999.0,100.0,100.3967,0.1235,1.5031,-0.0031,-0.0072,0.9569,201.9424,10.5661,420.5925,10.3387,191.6037,12.4735,1.3888,-5476.25,2635.25,-999.0,117.0,1.2887,62.8333,3.1556,3.2728,86.3269,8.7677,50.248000000000005,66.1542,86.1468,76.39,2.209,70.0,353.34,10.4091,-999.0,1.0341,138.0882,1.0,233.5491,4.624,2865.0,0.9298,0.9449,4.6414,-12.2945,-999.0,144.0191,21.9782,32.2945,0.9256,146.6636,1.0,65.8417,-0.0534,0.0183,-999.0,-0.0449,0.0034,-0.0178,-0.0123,-0.0048,7.5017,-999.0,-999.0,0.9902,1828.3846,0.1829,9014.46,0.0448,-0.0077,-0.0001,0.2189,-0.0167,0.0696,-0.0045,-0.0799,-0.2038,0.9424,796.595,-999.0,58.3858,0.5913,0.9628,6.3551,15.75,3.148,0.946,3.027,3.299,1.001,2.3715,993.1274,38.1448,119.0,143.2,123.1,48.8,-999.0,3.64,-999.0,0.0634,0.0451,0.0623,-999.0,12.505999999999998,0.0126,0.0538,699.0,283.0,1747.0,1443.0,3.9,-999.0,0.1009999999999999,0.499,-999.0,0.0631,0.3053,0.583,0.8285,0.1308,0.922,15.24,-999.0,10.85,37.715,0.1189,3.98,72.149,0.25,0.519,19.77,5.52,92.307,0.0915,0.0506,0.0769,0.1079,0.0797,0.1047,0.0924,0.1015,4.1338,0.003,0.0802,0.0004,69.15100000000001,0.1969999999999999,1406.4004,0.0227,0.0272,0.0067,0.0031,0.024,149.2172,0.0006,0.0177,0.4051,0.0488,19.862,3.6163,0.0052,85.2255,43.8119,25.3521,30.8924,89.9529,42.6838,276.881,148.0663,0.1096,0.0078,0.0026,0.9778,0.2156,532.0155,2.0275,8.83,0.48,0.4766,0.0202,0.0149,73.8432,0
5,2008-07-19 17:53:00,2946.25,2432.84,2233.3667,1326.52,1.5334,100.0,100.3967,0.1235,1.5287,0.0167,0.0055,0.9699,-999.0,8.6617,414.2426,9.2441,191.228,12.4935,1.3836,-6058.0,2953.75,-3906.5,193.75,0.893,62.3778,1.6333,3.52,85.4233,9.6484,50.5795,66.2949,87.0273,-999.0,3.024,70.0,360.2873,9.7804,142.2591,1.188,137.6473,1.0,192.7702,4.636,2865.0,0.9316,0.9433,4.6275,28.2955,-999.0,130.5545,7.617999999999999,11.7045,0.9227,-999.0,1.0,70.3707,-999.0,-0.055,-0.001,-0.0074,-0.0026,-0.0853,-999.0,0.021,6.7509,0.1417,2.3745,0.9888,1832.6305,0.2099,7869.7,-0.113,0.0009,-0.0004,0.1925,-0.0419,0.0265,-999.0,-999.0,0.1324,0.9427,748.0887,0.9907,58.656000000000006,0.6081,0.9632,6.3186,15.88,2.541,-999.0,2.7710000000000004,3.272,0.9985,2.2932,998.1081,37.9213,123.0,159.8,119.3,48.8,296.303,3.64,0.0041,0.0709,-999.0,0.0478,-999.0,-999.0,0.0106,0.0511,2089.0,-999.0,-999.0,1157.0,1.7,0.9,0.106,0.123,0.6308,0.3176,-999.0,0.5646,-999.0,0.2789,0.2189999999999999,19.7,0.482,14.38,35.535,-999.0,7.92,82.556,-999.0,1.003,21.78,6.61,111.952,0.0645,0.0391,0.0849,0.0614,0.0494,0.0668,0.0803,0.0575,-999.0,0.0117,0.0662,0.0028,129.1731,0.031,1132.2998,0.0362,0.019,0.0036,0.0035,0.0198,158.2729,0.0007,-999.0,0.4484,0.0411,29.743,3.6327,0.0033,61.9853,8.2683,55.102,42.8261,285.9,56.539,71.0586,68.7351,0.1096,0.0078,0.0026,0.9469,0.29,534.2091,2.3236,-999.0,0.4949,0.0189,0.0342,0.0151,44.0077,0
6,2008-07-19 19:44:00,3030.27,2430.12,-999.0,1463.6606,0.8294,-999.0,102.3433,0.1247,1.5816,-0.027,-999.0,0.9591,202.0901,-999.0,415.8852,9.999,192.0912,12.4608,1.4067,-6154.0,2691.75,-3914.75,580.25,0.9063,60.8,2.4889,3.4927,87.1543,-999.0,-999.0,66.2237,86.374,74.46,3.978,70.0,352.1836,10.062,132.3455,1.2714,146.4855,1.0,201.7609,4.59,2853.0,0.9324,0.9479,4.682,2.1109,-999.0,114.4564,12.74,17.8891,1.115,152.3582,1.0,83.4997,-999.0,-0.0132,-0.0321,-999.0,-999.0,-999.0,-0.0281,0.0288,-999.0,0.1479,-999.0,0.9675,1740.6472,0.2395,9238.3601,0.1397,0.0013,-0.0028,-0.0334,-999.0,0.0221,-0.0042,0.0148,-0.0372,0.936,806.2734,0.9905,58.823,0.6034,0.9754,6.5398,15.83,2.575,0.8089,2.854,3.383,-999.0,2.3216,995.1991,36.9578,89.0,173.7,122.5,56.2,219.7679,5.7,0.0049,0.0955,0.088,0.0493,8.255,10.965,0.0189,0.086,2117.0,643.0,-999.0,565.0,3.0,0.6,0.1159999999999999,0.11,0.5811,0.0356,-999.0,0.5535,0.8142,0.1764,1.065,18.27,0.475,10.81,15.84,0.1016,5.04,47.803,0.222,0.247,14.05,3.43,114.35,-999.0,0.0672,0.0355,0.0737,0.0903,0.0874,0.0998,0.0877,1.9062,-999.0,0.0903,0.0032,-999.0,0.0983,1046.2002,0.0226,0.0203,0.0067,0.0058,0.0379,105.5219,-999.0,0.0286,-999.0,0.0333,29.099,2.8,0.0026,91.3669,11.2651,24.1071,23.6929,-999.0,29.9535,509.0909,159.5238,0.1096,0.0078,0.0026,0.9128,0.4697,541.9036,2.4229,-999.0,-999.0,0.0143,0.0342,0.0151,44.0077,0
7,2008-07-19 19:45:00,3058.88,2690.15,2248.9,1004.4692,0.7884,100.0,106.24,0.1185,-999.0,-999.0,-999.0,0.9481,202.417,13.6872,408.4017,-999.0,192.7334,12.5263,1.4092,-5395.5,2551.75,-3819.75,-737.0,1.328,67.3,2.7889,3.4588,83.8887,8.7289,50.4685,65.0665,-999.0,78.09,2.6710000000000003,70.0,358.67,9.9271,142.2945,0.9025,136.6791,1.0,133.6606,4.636,-999.0,0.9316,0.9433,4.6275,29.1309,9.8389,131.4255,5.5936,10.8691,0.9965,144.3255,1.0,57.0841,-999.0,-0.0594,0.0249,-999.0,0.0002,-0.0765,0.0004,0.0086,6.2166,0.1369999999999999,2.3466,0.9902,-999.0,0.2038,-999.0,-0.0672,-999.0,-0.0018,-999.0,-0.0102,-0.0086,-0.0057,0.1039,-0.0866,0.9464,778.3335,0.9902,59.0421,0.6039,0.9622,6.3241,15.78,2.27,0.7568,2.645,3.442,0.9951,2.3437,992.8298,40.5458,91.0,175.4,201.1,55.5,249.9639,7.56,0.0034,0.1027,0.0626,0.0463,19.388,14.952,0.016,-999.0,233.0,346.0,-999.0,807.0,1.9,1.1,0.073,0.385,0.8182,-999.0,0.4235,0.7064,0.9357,0.3062,0.22,13.92,0.3929999999999999,14.09,37.242,0.0826,7.61,11.961,0.244,-999.0,12.63,4.72,73.632,0.0701,0.0529,0.1203,0.0517,0.0541,0.0989,0.0807,0.0378,7.5616,0.0035,0.0915,0.0005,126.1031,0.0976,1222.1006,0.0317,0.0235,0.0045,0.0048,0.0155,-999.0,0.0012,0.0254,0.442,0.0331,27.861,2.9057,0.0067,141.6508,37.4108,39.4422,8.9488,225.7941,71.7657,89.1323,-999.0,0.1096,0.0078,0.0026,0.9823,0.4232,493.0054,2.2008,278.19,0.4984,0.0106,0.0204,0.0194,95.031,0
8,2008-07-19 20:24:00,2967.68,2600.47,2248.9,1004.4692,0.7884,100.0,106.24,-999.0,1.5358,0.0111,-0.0066,0.9494,-999.0,-999.0,417.6009,9.7046,192.7498,-999.0,-999.0,-4196.5,2059.5,-2948.0,622.75,0.6829999999999999,62.8,2.1444,3.5067,-999.0,9.6234,-999.0,66.3322,86.9476,61.1,3.217,70.0,358.9564,9.7842,142.7009,1.1722,138.3109,1.0,216.9538,4.636,2865.0,0.9316,0.9433,4.6275,26.9791,9.8398,129.68,8.8612,13.0209,0.9079,144.5455,1.0,74.3992,-0.0088,-0.0523,-0.0629,0.0067,-0.0047,-0.094,-0.0251,0.0306,7.6346,0.1369999999999999,2.2944,0.98,1788.8624,0.1564,8615.27,0.001,0.0005,-0.0033,-0.1279,0.0791,-0.0024,-0.0048,-0.0299,-0.1156,0.9453,748.563,0.9906,58.7785,0.6054,0.9635,-999.0,-999.0,2.27,0.7568,2.645,3.442,0.9951,2.3437,992.8298,40.5458,91.0,136.1,116.8,55.5,249.9639,7.56,0.0034,0.0945,0.0551,0.0415,7.245,16.973,0.0151,0.0559999999999999,5781.0,2900.0,3961.0,948.0,2.4,-999.0,0.071,0.091,-999.0,-999.0,0.4343,0.5245,0.8582,0.247,0.226,12.48,0.36,-999.0,31.969,-999.0,5.63,81.637,0.244,0.877,16.32,5.09,90.715,0.0418,0.0555,0.0324,0.06,0.0293,0.081,0.0912,0.0476,2.8877,0.0035,0.0401,0.0287,100.5114,0.0404,740.3994,0.0331,0.0227,0.0066,0.0042,0.0222,61.5139,0.0007,0.0395,0.4304,0.0331,27.861,2.9057,-999.0,57.1204,134.3623,27.9793,37.6287,184.1738,44.9089,106.1693,138.5827,0.1096,0.0078,0.0026,-999.0,0.1343,-999.0,2.217,7.09,0.4993,0.0172,0.0111,0.0124,111.6525,0
9,2008-07-19 21:35:00,3016.11,-999.0,2248.9,1004.4692,0.7884,-999.0,106.24,0.1185,1.5381,0.0159,0.0049,-999.0,202.5999,12.4278,413.3677,9.7046,-999.0,12.5263,1.4185,-5357.5,2872.5,-3911.5,873.75,0.9002,67.0333,-999.0,-999.0,83.8887,8.7289,50.4685,65.0665,86.7493,78.09,2.6710000000000003,70.0,360.6945,-999.0,141.9964,1.1935,137.1391,1.0,194.3669,4.636,2865.0,-999.0,0.9433,4.6275,28.3118,9.6675,-999.0,6.8983,11.6882,1.0028,147.1409,1.0,65.50399999999999,-0.0117,-0.0506,-999.0,0.0065,0.0102,-999.0,-0.0375,0.0008,-999.0,0.135,2.4069,0.968,1712.8033,0.2012,9126.72,-0.1621,-0.0025,0.0004,-0.0405,-0.0288,0.0275,-0.0073,0.1359,-0.1364,0.9388,786.6071,-999.0,58.3664,0.5849,0.9799,6.2053,15.78,2.27,0.7568,2.645,3.442,0.9951,2.3437,-999.0,40.5458,-999.0,175.8,-999.0,-999.0,-999.0,7.56,0.0034,0.0725,0.0634,0.0478,13.545,-999.0,0.0179,-999.0,862.0,882.0,422.0,186.0,2.5,-999.0,0.089,0.096,0.8182,0.098,0.4235,0.7064,0.9357,0.3062,0.22,14.9,0.509,14.36,36.258,0.0987,10.29,43.062,0.244,1.179,5.58,6.18,109.867,0.0923,0.0526,0.0828,0.0531,0.0506,0.1019,-999.0,0.052,4.2936,0.0044,0.0854,0.0065,138.5192,0.0887,1266.0,0.037,0.0389,0.0063,0.0047,0.025,123.1775,0.001,0.0437,0.4653,0.0331,27.861,2.9057,0.0084,108.9894,10.7887,33.6449,22.155,80.8892,63.2981,-999.0,86.0068,0.1096,0.0078,0.0026,0.9556,0.2005,533.42,2.2598,3.54,0.4967,0.0152,0.0212,0.0191,90.2294,0
